arrest_id,prisoner_id,weight,height,arrest_date,bond_amount,release_flag
A-13491,P-04653,200,188.42000000000002,2019-06-01,0,1
A-00832,P-02266,180,175.18,2017-09-07,2500,1
A-18109,P-01495,140,172.64000000000001,2019-04-21,0,1
A-02055,P-02115,100,147.4,2018-01-19,15000,0
A-28981,P-02115,110,153.4,2018-04-23,1000,1
A-03294,P-02115,120,156.48,2018-07-08,2000,0
A-09214,P-02115,110,148.4,2018-09-05,6000,0
A-24569,P-02115,150,147.4,2019-02-23,3000,1
A-10833,P-02115,100,156.94,2019-04-28,15500,0
A-07126,P-02115,110,147.4,2017-04-27,6000,1
A-08692,P-02115,120,147.4,2018-03-13,5500,0
A-19237,P-09008,145,175.18,2018-04-27,0,1
A-19773,P-01656,190,174.26,2019-06-02,1500,1
A-20613,P-01656,155,168.18,2018-09-15,1500,1
A-14348,P-12265,193,158.02,2018-09-22,20000,1
A-00300,P-12265,160,153.48,2017-07-10,0,1
A-17044,P-12265,130,157.48,2017-07-28,10000,0
A-12349,P-12265,170,156.02,2019-04-06,5750,0
A-18358,P-07291,175,183.34,2017-11-01,300,1
A-28745,P-14205,180,192.96,2018-07-29,100,1
A-26669,P-14205,180,186.96,2018-09-05,1500,0
A-15502,P-18337,175,179.26,2017-07-08,2000,1
A-22906,P-18337,190,176.8,2017-08-28,1000,1
A-10476,P-13291,163,172.18,2017-07-22,3000,1
A-17192,P-13291,147,175.18,2017-12-07,45500,1
A-22213,P-13291,147,165.18,2017-11-27,2500,0
A-13397,P-13291,170,170.72,2018-02-15,0,1
A-21912,P-13291,160,175.72,2018-02-02,0,1
A-18164,P-13291,147,169.72,2019-03-07,500,1
A-29941,P-13291,165,185.88,2019-03-14,3000,1
A-02183,P-18085,150,174.72,2018-01-08,2000,1
A-19902,P-04871,230,186.88,2017-08-19,1500,1
A-07210,P-04871,205,181.88,2017-09-05,6500,1
A-07821,P-11169,170,187.42000000000002,2017-08-03,2500,1
A-03021,P-01799,205,177.8,2019-02-23,5500,1
A-28378,P-10538,150,168.72,2017-05-13,0,1
A-20231,P-08209,160,162.02,2017-05-15,45000,1
A-14889,P-16393,360,193.58,2017-07-26,1500,1
A-04490,P-16393,375,199.58,2019-05-14,11500,1
A-02809,P-11690,140,179.26,2018-02-16,45000,1
A-30503,P-11690,170,173.26,2017-06-06,1500,1
A-29825,P-11690,190,179.26,2018-03-02,20500,0
A-30855,P-10857,160,170.72,2018-07-18,2000,1
A-20589,P-10857,140,176.26,2017-12-14,101000,0
A-26134,P-10857,155,170.26,2018-08-30,2000,1
A-27437,P-10857,160,174.26,2018-12-18,1500,1
A-14454,P-10857,155,179.26,2017-10-08,6500,1
